miRNA	Sex	Disease_Condition	Age	Residual
hsa-miR-378b	0.0007204852972112702	0.10033758944302756	0.0006439631876713744	0.8982979620720899
hsa-miR-378c	0.0011547054369036873	0.4479015822562417	1.5315401233539176e-05	0.5509283969056211
hsa-miR-378d	0.0001110840056824384	0.47706798222830793	0.00015622981289110423	0.5226647039531185
hsa-miR-378e	6.359824336164329e-05	0.20822021681697075	0.0003921709720308536	0.7913240139676369
hsa-miR-378f	7.839164859193945e-05	0.4080621423544174	0.0001356249888900715	0.5917238410081005
hsa-miR-378g	0.000149814196359022	0.3647824379214935	0.00018596043358423247	0.6348817874485632
hsa-miR-378h	8.990100179057139e-05	0.08956236040099065	7.600947483278836e-05	0.9102717291223861
hsa-miR-378i	0.0008639828744135429	0.5043359715630279	4.2729610324153253e-05	0.4947573159522345
hsa-miR-378j	4.112559650644157e-06	0.02152072510283767	0.00019893601897565677	0.978276226318536
hsa-miR-379-3p	8.962880464118188e-05	0.4786613200999177	7.410046447917214e-05	0.521174950630962
hsa-miR-379-5p	0.00024594745667528705	0.4670617361531915	1.9385019788801767e-05	0.5326729313703443
hsa-miR-380-3p	0.00017214123219083758	0.435869902794168	3.180644810114262e-06	0.5639547753288312
hsa-miR-380-5p	0.00015026846758858098	0.4130038940550051	0.00014896770178064958	0.5866968697756256
hsa-miR-381-3p	0.00016144760922446832	0.5444388333278946	2.98652277517856e-07	0.45539942041060344
hsa-miR-381-5p	2.6639740170605152e-05	0.18105876312841246	6.19970419415117e-05	0.8188526000894754
hsa-miR-382-3p	1.5122886160782409e-05	0.3816941743929836	6.213286497618313e-05	0.6182285698558795
hsa-miR-382-5p	3.03542929299505e-09	0.42118227391122404	0.0006305345516568343	0.5781871885016898
hsa-miR-383-5p	1.2418980765877766e-05	0.01826777344159191	0.0001415242448481086	0.9815782833327941
hsa-miR-384	7.983944202235196e-06	0.06274324983140658	4.693873602794683e-05	0.9372018274883632
hsa-miR-3907	1.3294071673457098e-07	0.007056728653839526	0.00040550007886246364	0.9925376383265813
hsa-miR-3909	0.0022994879083541577	0.21000852830527147	0.0001809033174622449	0.7875110804689122
hsa-miR-3910	0.00018115048641909954	0.06172660213437527	0.0007219849756958109	0.9373702624035097
hsa-miR-3911	4.524270995293709e-05	0.11870151422350858	0.0009947646226213423	0.8802584784439171
hsa-miR-3912-3p	9.95552357194475e-05	0.33732822378819044	0.0003824195434353067	0.6621898014326549
hsa-miR-3912-5p	0.00012659061272817732	0.46983319182126965	0.0009699557913565029	0.5290702617746457
hsa-miR-3913-3p	6.139225163144762e-07	0.24911478622686292	7.786521994978639e-05	0.7508067346306709
hsa-miR-3913-5p	0.00025217658070163213	0.3544747992795709	0.001542084030123152	0.6437309401096044
hsa-miR-3914	0.0005744398851724568	0.0010506170776106924	3.320397961944516e-05	0.9983417390575974
hsa-miR-3915	8.326624311366998e-05	0.0015499417475429665	1.1103601653191235e-05	0.9983556884076902
